2018,IEEE,ICPR,Adaptive Latent Representation for Multi-view Subspace Learning
2018,IEEE,ICPR,Two-Stage Convolutional Network for Image Super-Resolution
2018,IEEE,ICME,Saliency Deep Embedding for Aurora Image Search
2018,IEEE,ICDMW ,Learning via Social Preference: A Coarse-to-fine Training Strategy for Style Transfer Systems
2018,IEEE,ICCC,Integrating GAN with CNN for Face Sketch Synthesis
2017,IEEE,ICCV,Hierarchical Multimodal LSTM for Dense Visual-Semantic Embedding
2016,IEEE,CVPR,Ordinal Regression with Multiple Output CNN for Age Estimation
2016,IEEE,IJCNN,Embedded Locality Discriminant GPLVM for Dimensionality Reduction
2016,IEEE,WCSP,Composite Face Sketch Recognition based on Components
2016,IEEE,ICSP,Robust tracking by selecting object-related candidates with deep features
